Address         Age       MAC Address     Interface
10.210.0.160    00:00:25  INCOMPLETE      Vlan210
10.210.0.166    00:00:33  e6fa.7adb.247d  Vlan210
10.210.0.188    00:18:12  7ee8.675d.545f  Vlan210
10.210.0.199    00:08:50  0090.0b97.cd8b  Vlan210
10.210.0.222    00:05:45  0025.90cd.7029  Vlan210
10.210.0.228    00:05:58  4a13.5509.c27c  Vlan210
10.210.0.229    00:06:09  4ad0.5e61.7fb5  Vlan210
10.210.0.230    00:05:19  0000.5e00.0115  Vlan210
10.210.0.231    00:08:00  ac1f.6bbb.97de  Vlan210
10.210.0.232    00:05:49  ac1f.6bbb.bbf0  Vlan210
10.210.0.237    00:06:16  0025.905a.ec9f  Vlan210
10.210.0.238    00:05:44  0025.905a.eca1  Vlan210
10.210.0.245    00:10:14  ac1f.6b4d.f274  Vlan210
10.210.0.246    00:04:25  ac1f.6b4d.f308  Vlan210
10.210.0.247    00:03:07  0025.90cd.706f  Vlan210
10.210.0.248    00:01:21  0000.5e00.012a  Vlan210
10.210.0.249    00:05:27  0025.90cc.6388  Vlan210
10.210.0.250    00:01:13  0007.4316.5d70  Vlan210
10.210.0.251    00:05:50  0007.4317.1630  Vlan210
10.210.0.252    00:05:50  0025.90c6.a9d8  Vlan210
10.210.0.253    00:06:13  90e2.ba15.6d56  Vlan210
10.210.1.1      00:16:49  9a5d.41a4.d336  Vlan210
10.210.1.15     00:00:54  6232.3132.3837  Vlan210
10.210.3.3      00:05:29  225b.5201.e835  Vlan210
10.210.3.9      00:01:52  2eb1.6bca.e951  Vlan210
10.210.3.10     00:00:06  aa6a.a843.1627  Vlan210
10.210.3.85     00:00:21  9263.9a89.b859  Vlan210
10.210.5.75     00:00:06  2e40.834d.e658  Vlan210
10.210.8.1      00:00:40  72aa.5945.8bbf  Vlan210
10.210.8.252    00:15:02  b61e.c888.b49b  Vlan210
10.210.9.99     00:05:52  14fe.b5c9.4d07  Vlan210
10.210.15.50    00:09:31  fe82.1108.3140  Vlan210
10.210.30.35    00:00:27  d205.82fe.8a14  Vlan210
10.210.30.50    00:16:56  1e25.5ccd.1330  Vlan210
10.210.88.1     00:00:18  INCOMPLETE      Vlan210
10.210.88.2     00:07:39  0cc4.7a02.4a60  Vlan210
10.210.88.3     00:02:57  36d7.d749.cfcb  Vlan210
10.210.88.4     00:02:11  0cc4.7a02.4a66  Vlan210
10.210.88.5     00:06:02  5688.5de9.ed43  Vlan210
10.210.88.7     00:11:53  ba58.8149.4913  Vlan210
10.210.88.10    00:15:23  3ecb.24a8.e69d  Vlan210
10.210.88.12    00:05:05  0025.905a.eb8e  Vlan210
10.210.88.14    00:08:51  0025.905b.0cd8  Vlan210
10.210.88.22    00:02:12  0025.905a.eb7c  Vlan210
10.210.88.24    00:12:39  0025.905b.bb08  Vlan210
10.210.88.27    00:00:06  9a68.add5.fa73  Vlan210
10.210.88.58    00:13:11  3667.37fc.b5d9  Vlan210
10.210.88.79    00:12:19  e6d7.2358.e765  Vlan210
10.210.88.99    00:07:35  7a36.79bb.2efc  Vlan210
10.210.88.202   00:05:52  0cc4.7a02.4681  Vlan210
10.210.88.204   00:06:30  0cc4.7a02.467e  Vlan210
10.210.88.254   00:13:57  0e01.6d8c.93e0  Vlan210
10.210.200.1    00:00:02  fec8.9371.b00d  Vlan210
10.210.200.2    00:06:16  f669.de43.53b2  Vlan210
10.210.200.3    00:10:39  0e9c.b01c.06db  Vlan210
10.210.200.4    00:01:29  5afe.6193.9047  Vlan210
10.210.200.5    00:17:07  62fa.7aeb.85db  Vlan210
10.210.200.6    00:14:21  6673.5e9c.16cc  Vlan210
10.210.200.7    00:13:33  c246.9ae5.a492  Vlan210
10.210.200.8    00:01:57  9efc.a89a.e86f  Vlan210
10.210.200.9    00:07:29  f27e.25aa.fd0d  Vlan210
10.210.200.11   00:00:17  9a43.1db4.395a  Vlan210
10.210.200.12   00:03:41  72c2.8775.bbbc  Vlan210
10.210.200.13   00:18:34  f402.70a4.4f04  Vlan210
10.210.200.14   00:06:00  0025.905f.a704  Vlan210
10.210.200.15   00:00:59  d213.ba5c.9460  Vlan210
10.210.200.18   00:01:24  f402.70a4.4e26  Vlan210
10.210.200.19   00:12:44  de79.6640.7fbc  Vlan210
10.210.200.20   00:00:46  66c7.a50f.d67f  Vlan210
10.210.250.100  00:01:21  12ab.a3b8.a894  Vlan210
172.17.40.23    00:05:09  e4e7.4904.3639  Vlan201
172.17.40.25    00:04:22  0017.a46a.c7b7  Vlan201
172.17.40.51    00:02:23  d4be.d9e4.8561  Vlan201
172.17.40.54    00:17:08  f8bc.1297.5eaf  Vlan201
172.17.40.58    00:07:32  509a.4c1f.457e  Vlan201
172.17.40.59    00:07:18  509a.4c1f.4584  Vlan201
172.17.40.60    00:03:40  484d.7ebc.e2d2  Vlan201
172.17.40.62    00:01:48  484d.7ebc.e23e  Vlan201
172.17.40.64    00:06:30  f8bc.1297.5d46  Vlan201
172.17.40.65    00:07:04  6400.6a2b.7ca0  Vlan201
172.17.40.66    00:11:24  484d.7e9a.142b  Vlan201
172.17.40.69    00:02:31  f8bc.1298.4bf7  Vlan201
172.17.40.79    00:07:49  f8bc.1298.47a1  Vlan201
172.17.40.89    00:04:39  e454.e851.6f6c  Vlan201
172.17.40.93    00:07:34  e454.e851.0258  Vlan201
172.17.40.251   00:00:28  0020.6bf6.8a8e  Vlan201
172.17.30.21    00:10:41  80ce.625b.e479  Vlan200
172.17.30.22    00:06:30  68b5.9990.dd3d  Vlan200
172.17.30.50    00:18:30  d8c4.97ad.0f37  Vlan200
172.17.30.51    00:00:05  f48e.38bd.d7db  Vlan200
172.17.30.82    00:05:51  509a.4c1f.3a5c  Vlan200
172.17.30.83    00:01:56  509a.4c1e.6098  Vlan200
172.17.30.85    00:17:15  509a.4c1f.45f3  Vlan200
172.17.30.87    00:12:35  484d.7eb9.5575  Vlan200
10.20.20.5      00:07:49  0006.6727.0573  Vlan162
10.20.20.6      00:02:02  0006.6727.056c  Vlan162
10.20.20.8      00:02:27  0006.6727.15d5  Vlan162
10.20.20.9      00:09:55  0006.6727.057a  Vlan162
10.20.20.11     00:07:22  0006.6727.15d4  Vlan162
10.20.20.12     00:02:47  0006.6727.0569  Vlan162
10.20.20.13     00:02:12  0006.6727.0577  Vlan162
10.20.20.15     00:08:23  0006.6727.0575  Vlan162
10.20.20.17     00:15:33  0006.6728.5898  Vlan162
10.20.20.18     00:07:39  0006.6727.15de  Vlan162
10.20.20.20     00:07:53  0006.6728.7c53  Vlan162
10.20.20.21     00:06:37  0006.6728.67d7  Vlan162
10.20.20.22     00:07:41  0006.6728.67d1  Vlan162
10.20.20.23     00:07:18  0006.6728.affd  Vlan162
10.20.20.26     00:00:39  4e85.7ba9.cc83  Vlan162
10.20.20.59     00:07:53  00c0.b7e3.9d79  Vlan162
192.168.138.252 00:09:23  0014.f520.5bfe  Vlan138
192.168.138.253 00:00:09  INCOMPLETE      Vlan138
192.168.138.254 00:09:23  0014.f520.4f09  Vlan138
10.110.0.2      00:00:19  00e0.db52.f5dc  Vlan110
10.110.0.3      00:08:59  d4be.d9e4.7ff9  Vlan110
10.110.0.4      00:05:48  d4be.d9e6.0128  Vlan110
10.110.0.5      00:00:40  d4be.d9e2.5fbb  Vlan110
10.110.0.7      00:01:55  d4be.d9e4.823f  Vlan110
10.110.0.8      00:16:29  00e0.db52.f714  Vlan110
10.110.0.9      00:10:05  1865.71ed.fe35  Vlan110
10.110.0.12     00:03:27  d4be.d9e6.cd92  Vlan110
10.110.0.13     00:00:39  a41f.7267.fdb6  Vlan110
10.110.0.14     00:16:19  d4be.d9e5.87aa  Vlan110
10.110.0.15     00:01:59  d4be.d9e4.001a  Vlan110
10.110.0.16     00:02:35  a41f.7267.8d51  Vlan110
10.110.0.18     00:03:51  a41f.7267.fc40  Vlan110
10.110.0.23     00:03:40  d4be.d9e6.032d  Vlan110
10.110.0.24     00:14:31  d4be.d9e6.00a2  Vlan110
10.110.0.26     00:00:29  d4be.d9e2.7210  Vlan110
10.110.0.30     00:02:27  d4be.d9e6.01ae  Vlan110
10.110.0.32     00:02:27  a41f.7267.fd50  Vlan110
10.110.0.37     00:02:01  d4be.d9e2.7146  Vlan110
10.110.0.40     00:12:02  d4be.d9e6.0354  Vlan110
10.110.0.42     00:09:49  d4be.d9e6.0516  Vlan110
10.110.0.43     00:13:55  d4be.d9e4.122c  Vlan110
10.110.0.46     00:05:43  d4be.d9e2.6c4e  Vlan110
10.110.0.48     00:00:36  d4be.d9e5.ff43  Vlan110
10.110.0.50     00:00:36  d4be.d9e4.234e  Vlan110
10.110.0.51     00:07:38  d4be.d9e5.ab0a  Vlan110
10.110.0.54     00:01:23  d4be.d9e4.1c1d  Vlan110
10.110.0.56     00:02:34  a41f.7267.8ce4  Vlan110
10.110.0.66     00:02:35  d4be.d9e6.1319  Vlan110
10.110.0.70     00:01:20  d4be.d9e2.6c23  Vlan110
10.110.0.71     00:02:34  d4be.d9e4.2764  Vlan110
10.110.0.72     00:04:50  d4be.d9e5.ff41  Vlan110
10.110.0.75     00:09:11  f092.1c64.0952  Vlan110
10.110.0.78     00:18:01  d4be.d9e0.a001  Vlan110
10.110.0.80     00:06:53  d4be.d9e4.234b  Vlan110
10.110.0.81     00:08:50  d4be.d9e6.490c  Vlan110
10.110.0.85     00:08:28  8425.190a.a7db  Vlan110
10.110.0.87     00:01:40  d4be.d9e4.856f  Vlan110
10.110.0.88     00:01:16  d4be.d9e2.7336  Vlan110
10.110.0.120    00:01:12  f430.b925.0efe  Vlan110
10.110.0.250    00:08:23  6400.f1f5.d18f  Vlan110
10.110.2.230    00:17:50  30cd.a7ec.047b  Vlan110
10.110.2.235    00:07:52  5838.791d.f6d2  Vlan110
10.110.79.116   00:09:49  a4bb.6d7f.5343  Vlan110
10.110.79.119   00:08:49  a4bb.6d7e.bc7a  Vlan110
10.110.79.120   00:03:47  a4bb.6d7f.51cd  Vlan110
10.110.79.121   00:06:01  a4bb.6d7f.1652  Vlan110
10.110.79.122   00:02:53  a4bb.6d7f.15c6  Vlan110
10.110.79.123   00:01:39  a4bb.6d7e.bde7  Vlan110
10.110.79.124   00:01:17  a4bb.6d7e.bcd0  Vlan110
10.110.79.125   00:00:53  a4bb.6d7f.5611  Vlan110
10.110.79.126   00:00:08  a4bb.6d7e.be2c  Vlan110
10.110.79.127   00:02:24  a4bb.6d7f.5417  Vlan110
10.110.79.128   00:00:39  a4bb.6d7f.533a  Vlan110
10.110.79.129   00:18:40  a4bb.6d7e.bd26  Vlan110
10.110.79.131   00:07:30  a4bb.6d7f.5362  Vlan110
10.110.79.132   00:01:24  a4bb.6d7f.560e  Vlan110
10.110.79.133   00:04:05  a4bb.6d7e.bdab  Vlan110
10.110.79.134   00:01:01  a4bb.6d7f.1782  Vlan110
10.110.79.135   00:01:02  a4bb.6d7e.bd19  Vlan110
10.110.79.136   00:04:54  a4bb.6d7e.bcbf  Vlan110
10.110.79.137   00:00:35  a4bb.6d7f.52dc  Vlan110
10.110.79.138   00:03:32  a4bb.6d7f.551d  Vlan110
10.110.79.139   00:00:55  a4bb.6d7f.54fb  Vlan110
10.110.79.140   00:02:14  a4bb.6d7f.1657  Vlan110
10.110.79.141   00:01:34  a4bb.6d7e.bdfa  Vlan110
10.110.79.142   00:03:14  a4bb.6d7e.b6b3  Vlan110
10.110.79.143   00:02:02  a4bb.6d7e.bc41  Vlan110
10.110.79.145   00:05:19  a4bb.6d7f.53c6  Vlan110
10.110.79.146   00:01:37  a4bb.6d7f.4b23  Vlan110
10.110.79.147   00:08:44  a4bb.6d7f.15d7  Vlan110
10.110.79.148   00:01:01  a4bb.6d7f.53fc  Vlan110
10.110.79.149   00:01:00  a4bb.6d7e.bccc  Vlan110
10.110.79.151   00:08:04  a4bb.6d7f.5580  Vlan110
10.110.79.153   00:08:16  a4bb.6d7f.5330  Vlan110
10.110.79.155   00:04:22  a4bb.6d7e.bccb  Vlan110
10.110.79.156   00:00:44  a4bb.6d7e.bcdd  Vlan110
10.110.79.159   00:00:35  a4bb.6d7f.53c5  Vlan110
10.110.79.164   00:05:01  a4bb.6d7e.be11  Vlan110
10.110.79.175   00:00:57  a4bb.6d7f.5604  Vlan110
10.110.79.222   00:01:19  c81f.6638.5952  Vlan110
10.110.79.223   00:07:40  d4be.d9e2.6c4d  Vlan110
10.110.79.224   00:12:37  c81f.6638.6684  Vlan110
10.110.79.225   00:01:26  a41f.7268.ab90  Vlan110
10.110.79.226   00:07:42  d4be.d9db.3e2f  Vlan110
10.110.79.227   00:01:10  c81f.6638.5cec  Vlan110
10.110.79.228   00:00:16  d4be.d9e4.82e8  Vlan110
10.110.79.229   00:03:42  c81f.6638.7640  Vlan110
10.110.79.230   00:07:44  c81f.6638.5f62  Vlan110
10.110.79.231   00:03:09  c81f.6638.5ee8  Vlan110
10.110.79.232   00:16:33  d89e.f327.5d69  Vlan110
10.110.79.234   00:07:45  6400.6a41.9ddf  Vlan110
10.110.79.235   00:07:50  6400.6a41.9e90  Vlan110
10.110.79.236   00:18:05  6400.6a41.9dd9  Vlan110
10.110.79.237   00:07:50  b8ca.3aff.53b3  Vlan110
10.110.79.238   00:16:16  6400.6a41.2db2  Vlan110
10.110.79.239   00:00:26  6400.6a41.3046  Vlan110
10.110.79.240   00:07:50  6400.6a41.a6d3  Vlan110
10.110.79.241   00:07:52  6400.6a41.2f28  Vlan110
10.110.79.242   00:18:02  6400.6a41.9de4  Vlan110
10.110.79.243   00:18:03  6400.6a41.2a8e  Vlan110
10.110.79.244   00:00:29  6400.6a41.a6db  Vlan110
10.110.79.245   00:09:37  6400.6a41.a6ee  Vlan110
10.110.79.246   00:02:28  6400.6a41.9dcf  Vlan110
10.110.79.247   00:07:49  6400.6a41.9de8  Vlan110
10.110.79.248   00:07:53  6400.6a41.9f30  Vlan110
10.110.79.249   00:18:01  6400.6a41.9e11  Vlan110
10.110.79.250   00:18:20  6400.6a41.9e14  Vlan110
10.110.79.251   00:17:59  6400.6a41.a6df  Vlan110
10.110.79.252   00:07:53  6400.6a41.9ea3  Vlan110
10.110.79.253   00:18:06  6400.6a41.a6e4  Vlan110
10.110.79.254   00:17:59  6400.6a41.9dea  Vlan110
10.110.79.255   00:07:52  6400.6a41.a6f8  Vlan110
10.110.80.0     00:00:46  6400.6a41.3049  Vlan110
10.110.80.1     00:04:08  484d.7ebc.5e34  Vlan110
10.110.80.2     00:18:03  54bf.6493.114e  Vlan110
10.110.80.3     00:07:50  54bf.6493.00ce  Vlan110
10.110.80.4     00:00:29  54bf.6493.0422  Vlan110
10.110.80.5     00:07:48  54bf.6493.12fa  Vlan110
10.110.80.8     00:02:36  54bf.6493.11eb  Vlan110
10.110.80.10    00:18:43  54bf.6493.10d0  Vlan110
10.110.80.11    00:01:14  54bf.6493.11ea  Vlan110
10.110.80.13    00:17:17  54bf.6493.119b  Vlan110
10.110.80.14    00:17:48  54bf.6493.1171  Vlan110
10.110.80.17    00:07:37  54bf.6493.1316  Vlan110
10.110.80.18    00:02:35  54bf.6493.132d  Vlan110
10.110.80.19    00:07:37  54bf.6493.1276  Vlan110
10.110.80.20    00:00:32  54bf.6493.1323  Vlan110
10.110.80.21    00:07:44  54bf.6493.11a8  Vlan110
10.110.80.22    00:07:46  54bf.6493.137f  Vlan110
10.110.80.23    00:15:45  54bf.6492.ffb0  Vlan110
10.110.80.24    00:02:32  54bf.6493.1384  Vlan110
10.110.80.25    00:07:46  54bf.6493.0d22  Vlan110
10.110.80.26    00:00:29  54bf.6493.1282  Vlan110
10.110.80.27    00:01:32  54bf.6493.1343  Vlan110
10.110.80.28    00:17:52  54bf.6493.12ed  Vlan110
10.110.80.29    00:01:58  54bf.6493.02d6  Vlan110
10.110.80.30    00:02:30  54bf.6493.08bf  Vlan110
10.110.80.31    00:00:37  54bf.6493.137d  Vlan110
10.110.80.32    00:11:11  54bf.6493.1272  Vlan110
10.110.80.33    00:07:48  54bf.6493.1373  Vlan110
10.110.80.34    00:07:42  54bf.6493.0ffd  Vlan110
10.110.80.35    00:07:47  54bf.6493.11f6  Vlan110
10.110.80.36    00:07:46  54bf.6492.fea5  Vlan110
10.110.80.53    00:07:49  54bf.6493.0d31  Vlan110
10.110.80.54    00:07:50  54bf.6493.11cb  Vlan110
10.110.80.55    00:07:48  54bf.6492.fcbe  Vlan110
10.110.80.56    00:07:50  54bf.6492.fb0e  Vlan110
10.110.80.57    00:09:58  54bf.6493.0d12  Vlan110
10.110.80.60    00:07:50  54bf.6493.11d8  Vlan110
10.110.80.61    00:00:36  54bf.6493.1289  Vlan110
10.110.80.62    00:07:50  54bf.6493.1055  Vlan110
10.110.80.63    00:07:50  54bf.6493.1337  Vlan110
10.110.80.66    00:05:37  842a.fdff.a141  Vlan110
10.110.80.67    00:02:43  c81f.6638.5f7d  Vlan110
10.110.80.68    00:02:38  c81f.6638.5eef  Vlan110
10.110.80.69    00:02:40  c81f.6638.5cf9  Vlan110
10.110.80.70    00:02:24  c81f.6638.5efe  Vlan110
10.110.80.71    00:02:26  c81f.6638.5f17  Vlan110
10.110.80.72    00:00:11  c81f.6638.5cfc  Vlan110
10.110.80.73    00:02:26  c81f.6638.768d  Vlan110
10.110.80.74    00:00:32  c81f.6638.5b33  Vlan110
10.110.80.75    00:02:54  c81f.6638.5dea  Vlan110
10.110.80.76    00:02:12  c81f.6638.5d09  Vlan110
10.110.80.77    00:01:55  c81f.6638.5d1d  Vlan110
10.110.80.78    00:02:41  c81f.6638.5bbf  Vlan110
10.110.80.79    00:03:24  c81f.6638.75ed  Vlan110
10.110.80.80    00:01:19  c81f.6638.7610  Vlan110
10.110.80.81    00:02:15  c81f.6638.5cdb  Vlan110
10.110.80.82    00:17:11  c81f.6638.5d05  Vlan110
10.110.80.83    00:02:32  c81f.6638.668c  Vlan110
10.110.80.84    00:02:33  c81f.6638.5c94  Vlan110
10.110.80.85    00:02:14  c81f.6638.751e  Vlan110
10.110.80.86    00:01:31  c81f.6638.62c7  Vlan110
10.110.80.87    00:02:38  c81f.6638.780f  Vlan110
10.110.80.88    00:02:34  c81f.6638.5eff  Vlan110
10.110.80.89    00:02:23  c81f.6638.63a6  Vlan110
10.110.80.90    00:01:31  c81f.6638.5d04  Vlan110
10.110.80.91    00:00:06  c81f.6638.5cf2  Vlan110
10.110.80.92    00:07:36  d89e.f395.0c57  Vlan110
10.110.80.93    00:07:42  d89e.f395.0b1d  Vlan110
10.110.80.94    00:18:04  d89e.f395.0c24  Vlan110
10.110.80.95    00:07:42  14b3.1f2d.0ad9  Vlan110
10.110.80.96    00:07:39  d89e.f395.0c0a  Vlan110
10.110.80.97    00:07:42  d89e.f395.0c58  Vlan110
10.110.80.98    00:03:09  d89e.f395.0c33  Vlan110
10.110.80.99    00:00:29  d89e.f395.0c81  Vlan110
10.110.80.127   00:07:23  f04d.a2fc.40d7  Vlan110
10.110.80.135   00:07:44  8cec.4b6c.4511  Vlan110
10.110.80.141   00:07:49  a4bb.6d43.d3df  Vlan110
10.110.80.142   00:07:49  6c2b.59fa.4708  Vlan110
10.110.80.143   00:07:52  f8bc.1297.5821  Vlan110
10.110.80.144   00:07:46  e454.e852.cbac  Vlan110
10.110.80.145   00:07:49  6c2b.59fa.44dc  Vlan110
10.110.80.146   00:17:59  6c2b.59fa.450d  Vlan110
10.110.80.147   00:00:51  f8bc.1298.4752  Vlan110
10.110.80.148   00:07:46  f8bc.1294.3f32  Vlan110
10.110.80.149   00:07:51  b083.fe64.82b0  Vlan110
10.110.80.150   00:16:26  f8bc.1298.4e00  Vlan110
10.110.80.151   00:07:44  f8bc.1298.4993  Vlan110
10.110.80.153   00:00:04  e454.e863.c6c9  Vlan110
10.110.80.154   00:02:30  e454.e865.4855  Vlan110
10.110.80.155   00:02:02  6c2b.59fa.4617  Vlan110
10.110.80.168   00:03:07  004e.01c0.a38e  Vlan110
10.110.80.170   00:08:45  54bf.645b.ec8c  Vlan110
10.110.80.171   00:01:17  54bf.645b.e55a  Vlan110
10.110.80.172   00:04:32  54bf.645b.e4e7  Vlan110
10.110.80.173   00:04:21  54bf.645b.ecd0  Vlan110
10.110.80.174   00:03:50  54bf.645b.ec82  Vlan110
10.110.80.175   00:14:35  54bf.645b.ea28  Vlan110
10.110.80.176   00:02:02  54bf.645b.ed25  Vlan110
10.110.80.177   00:00:20  54bf.645b.eb24  Vlan110
10.110.80.178   00:09:35  54bf.645b.ed4d  Vlan110
10.110.80.179   00:00:38  54bf.645b.ed43  Vlan110
10.110.80.180   00:18:34  54bf.645b.e755  Vlan110
10.110.80.181   00:06:16  54bf.645b.eb30  Vlan110
10.110.80.182   00:11:27  54bf.645e.3eb1  Vlan110
10.110.80.183   00:00:34  54bf.645b.ebad  Vlan110
10.110.80.185   00:10:17  54bf.645b.e798  Vlan110
10.110.80.187   00:00:52  54bf.645b.eab8  Vlan110
10.110.80.188   00:00:49  54bf.645b.ec75  Vlan110
10.110.80.189   00:02:28  54bf.645b.ecf2  Vlan110
10.110.80.190   00:03:14  54bf.645b.ea74  Vlan110
10.110.80.192   00:00:29  1866.da48.eb02  Vlan110
10.110.80.193   00:07:10  1866.da48.edfa  Vlan110
10.110.80.194   00:07:28  1866.da49.355e  Vlan110
10.110.80.195   00:01:34  1866.da48.f0b8  Vlan110
10.110.80.197   00:07:33  1866.da48.eace  Vlan110
10.110.80.198   00:07:11  1866.da48.f26b  Vlan110
10.110.80.199   00:02:46  1866.da48.ea8f  Vlan110
10.110.80.200   00:07:30  1866.da48.dc4a  Vlan110
10.110.80.201   00:02:09  1866.da48.eb3d  Vlan110
10.110.80.202   00:02:46  1866.da48.f089  Vlan110
10.110.80.203   00:12:44  1866.da49.349c  Vlan110
10.110.80.204   00:07:32  1866.da48.ea7f  Vlan110
10.110.80.205   00:01:51  1866.da48.eaaf  Vlan110
10.110.80.206   00:09:58  1866.da49.33fc  Vlan110
10.110.80.207   00:11:43  1866.da48.eb6c  Vlan110
10.110.80.208   00:07:33  1866.da48.ea28  Vlan110
10.110.80.209   00:09:44  1866.da48.ee88  Vlan110
10.110.80.210   00:07:33  1866.da48.f1f4  Vlan110
10.110.80.226   00:17:41  e454.e852.e7fa  Vlan110
10.110.80.227   00:07:47  e454.e852.959c  Vlan110
10.110.80.228   00:07:47  e454.e859.477c  Vlan110
10.110.80.229   00:07:48  e454.e852.9659  Vlan110
10.110.80.230   00:02:24  e454.e852.992a  Vlan110
10.110.80.231   00:07:48  e454.e84e.cebf  Vlan110
10.110.80.233   00:07:47  e454.e851.7277  Vlan110
10.110.80.234   00:07:49  e454.e84f.e9f7  Vlan110
10.110.80.235   00:17:58  e454.e852.cb07  Vlan110
10.110.80.236   00:02:12  e454.e84e.9227  Vlan110
10.110.80.237   00:18:04  e454.e84f.ee86  Vlan110
10.110.80.239   00:07:47  e454.e859.490f  Vlan110
10.110.80.240   00:17:59  e454.e851.c70f  Vlan110
10.110.80.241   00:18:03  e454.e851.ec80  Vlan110
10.110.80.243   00:07:48  e454.e852.f481  Vlan110
10.110.80.244   00:07:48  e454.e852.b324  Vlan110
10.110.80.245   00:15:27  e454.e84e.906a  Vlan110
10.110.80.246   00:07:30  d4be.d9e6.141e  Vlan110
10.110.80.247   00:07:33  d4be.d9e5.b2a9  Vlan110
10.110.80.248   00:07:34  d4be.d9e5.08cd  Vlan110
10.110.80.249   00:06:14  d4be.d9e3.15cc  Vlan110
10.110.80.250   00:02:34  d4be.d9e4.94bf  Vlan110
10.110.80.251   00:07:40  d4be.d9e4.fd5d  Vlan110
10.110.80.252   00:07:35  d4be.d9e5.a45f  Vlan110
10.110.80.253   00:07:23  d4be.d9e5.0772  Vlan110
10.110.80.254   00:07:53  d4be.d9e2.cc19  Vlan110
10.110.80.255   00:07:39  d4be.d9e2.590c  Vlan110
10.110.81.0     00:07:39  d4be.d9e5.0a2e  Vlan110
10.110.81.1     00:07:35  d4be.d9e5.84ef  Vlan110
